ID,Name,Age,100s,50s,6s,Balls,Balls Faced,Bat_Average,Bowl_Strike_rate,Economy_Rate,Innings,Maidens,Overs,Runs,Wickets,Ratings
271,Neil A Foster,56,120,0,0,2504,244,11.54,44.53,4.19,798,866,381,230,96,165
272,Timothy James Murtagh,37,138,0,1,0,251,7.67,41.64,4.47,574,1216,177,87,487,167
273,Gladstone C Small,57,18,0,0,2647,188,6.53,48.16,4.17,185,473,389,289,179,138
274,Henry K Olonga,42,14,0,3,2043,163,7.31,35.5,5.76,207,1212,256,210,116,146
275,Michael J Clarke,37,46,58,53,2888,10104,44.59,45.35,4.98,27,0,560,8053,304,454
276,Gregory Richard John Matthews,59,110,1,3,2861,911,16.73,49.26,4.28,483,273,516,465,0,189
277,Tawanda Mupariwa,33,35,0,2,2270,325,8.41,35.42,5.02,404,399,540,372,6,153
278,Debashish S Mohanty,42,4,0,0,1862,57,5.6,35.02,5,407,228,453,55,264,130
279,Mudassar Bukhari,35,120,2,19,2162,673,17.17,36.36,4.72,126,2,315,813,222,218
280,Arshad Khan,47,72,0,1,3153,218,12.09,50.41,4.14,140,894,416,254,369,160
281,Hamid Hassan,31,1,0,1,0,171,7.08,27.11,4.56,367,271,89,23,116,146
282,Roger Telemachus,45,85,0,3,1630,94,6.08,34.25,4.9,735,522,695,156,412,178
283,Ryan N ten Doeschate,38,56,9,29,1185,1757,67,28.73,5.04,336,1295,203,0,277,393
284,Ashley F Giles,45,137,0,4,3074,551,17.5,51.93,4.35,275,1409,310,228,202,184
285,Jeffrey Robert Thomson,68,106,0,2,2742,280,7.54,49.02,4.32,596,1851,518,18,136,161
286,Tausif Ahmed,60,40,0,0,2990,216,10.55,59.09,4.15,92,1278,442,1,199,140
287,Xavier J Doherty,36,126,0,1,2391,184,14.43,50.76,4.78,259,1333,400,91,567,148
288,Jeremy V Coney,66,4,0,0,0,0,0,54.28,4.17,309,409,408,1681,314,241
289,Safyaan M Sharif,27,111,0,3,1629,300,14.07,31.98,4.93,70,594,590,140,144,186
290,Sikandar Raza,32,14,13,54,2834,3060,34.4,46.68,4.85,412,877,453,2704,37,299
291,Andre R Adams,43,47,0,18,1996,417,17.46,35.57,5.23,48,1523,173,0,488,242
292,Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,34,67,0,5,2241,311,13.18,44.49,4.77,97,1087,281,0,12,208
293,Stuart R Clark,43,30,0,1,1871,88,13.8,34.51,4.85,352,0,251,0,132,193
294,Leonard S Pascoe,69,141,0,0,1742,102,9.75,29.58,4.08,535,937,460,0,139,124
295,Darren S Lehmann,49,17,17,14,1892,3784,38.96,34.48,4.84,509,429,336,0,181,323
296,Thomas Masson Moody,53,132,10,18,2693,1747,23.29,53.79,4.32,505,171,477,1182,149,225
297,Andile Lucky Phehlukwayo,23,83,1,16,1679,434,31.33,31.04,5.65,572,2526,565,477,32,256
298,Karunakalage S C de Silva,48,4,0,1,1704,92,6.5,31.13,4.9,100,29,231,167,399,114
299,Geoffrey I Allott,47,100,0,0,0,56,3.4,29.38,4.74,50,785,28,207,77,92
300,Vasbert C Drakes,49,33,0,0,0,174,7.83,32.16,4.73,0,2147,465,106,13,142
301,Keiron A Pollard,31,151,9,110,0,2464,25.72,40.88,5.74,562,850,94,2199,265,288
302,Johannes A Morkel,37,13,2,25,2029,780,23.7,41.46,5.5,536,248,605,910,95,257
303,Arnoldus M Blignaut,40,26,5,13,2300,589,18.97,46.96,5.27,167,864,536,301,7,250
304,Magina Thilan Thushara Mirando Thushara,38,37,1,9,1412,424,18.67,33.52,4.99,459,530,15,473,0,232
305,Mohammad Naveed,31,64,0,19,1988,297,18.45,35.64,5.51,311,1071,308,174,355,276
306,Craig D McMillan,42,77,28,84,1948,6199,28.19,38.35,5.48,185,1082,53,4826,42,322
307,Jeetan S Patel,38,106,0,2,2120,162,13.57,41.1,5.04,722,166,218,3,401,149
308,James K Kamande,40,86,3,15,2743,1683,0,54.58,4.97,699,878,352,1308,221,179
309,John F Mooney,37,119,3,14,1757,1215,23.49,37.44,5.46,506,1205,308,1150,171,231
310,Shane Lee,45,120,0,7,1596,500,17.67,35.54,4.38,277,487,746,719,74,230
311,David J Willey,28,62,1,5,1798,290,18.92,36.81,5.66,214,0,362,69,321,212
312,Graham R Dilley,5,124,0,0,2145,133,11.4,42.56,3.79,38,159,409,113,562,199
313,Barry J McCarthy,26,110,0,0,1215,163,6.83,25.88,5.74,103,713,56,32,122,126
314,Joshua H Davey,28,92,2,1,1029,715,22.43,25.51,5.07,249,458,0,449,50,204
315,Shadab Khan,20,73,3,4,1581,452,29.4,34.62,4.81,135,946,212,236,132,206
316,Angus R C Fraser,53,5,0,2,2490,208,12.82,50.89,3.54,95,770,433,386,209,182
317,Peter M Seelaar,31,48,0,2,1870,228,9.62,38.28,4.67,78,279,291,122,97,137
318,Shahadat Hossain,30,145,0,1,2369,151,7.9,46.77,5.85,177,890,450,61,264,124
319,Lachlan Hammond Ferguson,27,76,0,1,0,0,0,0,0,202,373,7,73,104,121
320,Mujeeb Ur Rahman,17,114,0,1,1594,41,6.67,29.11,3.74,230,558,473,0,98,206
321,Glenn James Maxwell,30,79,16,72,2045,1964,32.42,43.91,5.6,154,373,545,0,113,345
322,Mohinder Amarnath,68,21,13,9,2568,3334,30.54,59.35,4.33,234,735,532,1730,66,225
323,Peter W Borren,35,61,5,19,2003,0,0,43.02,4.91,553,322,703,780,229,230
324,Nixon A M McLean,45,42,1,7,2163,383,12.08,46.09,4.89,596,352,438,365,164,186
325,Nikhil Chopra,45,64,1,5,2118,498,15.5,39.89,4.2,233,285,298,261,220,169
326,Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya,25,70,1,3,1529,390,15.33,31.35,5.16,357,2204,253,108,521,178
327,Bryan Colin Strang,46,130,0,2,2375,220,5.11,54.22,4.13,339,76,3,53,289,108
328,Michael R Whitney,60,39,0,0,2115,90,0,0,0,141,352,494,404,36,122
329,Mohammad Asif,36,51,0,0,2007,100,3.78,42.2,4.71,160,243,238,156,152,92
330,Shayne B O'Connor,45,57,0,1,1324,91,3.43,32.33,5.63,217,1603,0,8,231,74
331,Dipak N Patel,60,24,1,7,3148,868,11.75,72.24,4.17,15,2772,529,870,176,164
332,Mirwais Ashraf,30,53,1,16,2066,543,14.33,44.62,4.06,3,386,78,327,125,182
333,Robert D B Croft,48,34,0,2,2656,519,14.38,54.8,4.24,258,65,583,108,21,164
334,Christopher Middleton Old,70,138,1,6,1825,401,18.78,39,3.42,396,505,371,282,347,225
335,Nikita O'Brien Miller,36,142,1,4,2165,359,20.29,47.22,4.69,230,625,206,238,271,199
336,Graeme F Labrooy,64,127,0,3,2257,350,8.59,51.29,4.88,100,3364,470,373,95,154
337,Axar Rajeshbhai Patel,25,47,0,8,2106,190,12.93,42.4,4.43,243,741,431,61,2,205
338,Andrew Richard Whittall,45,43,0,2,2986,310,7.64,68.56,4.38,230,805,388,411,29,111
339,Kyle M Jarvis,30,31,0,2,2075,264,7.29,43.02,5.62,93,341,210,95,124,132
340,Henry Osinde,40,62,0,0,1599,130,4.27,37.6,4.93,169,663,0,0,145,119
341,Edward C Rainsford,34,12,0,1,1901,134,5.5,42.38,4.4,81,712,458,82,167,110
342,Taskin Ahmed,23,4,0,0,1421,99,4.1,31.4,5.95,862,841,281,107,206,98
343,Samiullah Shenwari,31,48,11,25,1987,2669,29.37,45.52,4.91,593,935,469,1751,202,229
344,Mitchell R Marsh,27,48,11,37,1673,1534,35.7,38.64,5.52,262,631,406,1458,16,290
345,James Douglas Sheahan Neesham,28,123,5,23,1484,966,30.76,32.84,6.32,131,632,353,1036,19,283
346,Hardik H Pandya,25,32,4,36,1961,627,29.24,43.05,5.54,262,470,177,780,23,287
347,Dirk P Viljoen,41,143,2,5,1880,827,14.22,47.16,4.74,122,1431,0,0,0,155
348,Derek Raymond Pringle,60,72,0,3,2521,616,23.61,54.07,4.23,691,337,565,516,276,209
349,Richard P Snell,50,107,2,4,2230,330,16.1,47.61,4.51,82,1043,263,212,200,224
350,Victor J Marks,63,27,0,0,1631,434,13.57,41.36,3.74,40,351,325,453,113,170
351,Harvir S Baidwan,31,109,0,0,1895,339,14.67,35.25,5.21,51,790,147,229,46,165
352,Christopher J Jordan,30,31,0,0,1453,188,12.07,34.68,5.97,472,718,68,101,295,194
353,Steven Elworthy,54,30,0,1,1589,160,12.5,38.68,4.35,502,437,355,40,30,161
354,Adam Zampa,26,10,0,1,1877,154,7.46,39.77,5.59,144,552,457,38,462,133
355,Anthony H Gray,55,63,0,0,1430,77,8.5,28.86,3.94,553,136,378,374,7,155
356,Ryan James Harris,39,72,0,1,1283,48,8,23.43,0,0,0,220,223,359,210
357,Nazmul Hossain,31,121,0,0,1641,128,4.38,37.48,5.04,279,910,477,19,387,81
358,James C Adams,51,35,14,3,1775,3614,28.62,42.6,4.84,132,587,412,2011,444,232
359,Martin A Suji,47,56,0,1,3164,526,8.23,68.65,4.45,61,471,530,305,99,120
360,Alasdair C Evans,30,107,0,1,1367,142,13.43,33.33,5.12,423,165,449,180,314,164
361,Shapoor Zadran,34,18,0,3,1782,160,6.7,45,4.78,286,647,275,235,351,112
362,Simon P Davis,59,2,0,0,1938,34,5,46.88,3.37,147,907,302,46,14,139
363,Keith L T Arthurton,54,13,9,19,1605,2822,26.08,32.95,5.02,209,545,481,1911,293,229
364,Shane A Thomson,50,51,5,8,2024,1427,22.95,50.5,4.53,340,10,41,1206,115,200
365,Andre C Botha,43,66,2,5,1473,970,19.59,37.14,4.36,713,395,457,656,227,195
366,Ashley Renaldo Nurse,30,86,0,11,2247,458,19.52,50.24,5.17,768,1714,376,567,152,219
367,John W Hastings,33,44,1,8,1505,273,27.1,35.38,5.07,126,1281,288,180,198,249
368,Hilary A Gomes,65,97,6,4,1380,2578,28.88,31.34,4.61,78,120,417,1254,124,211
369,Sunil Dhaniram,50,123,6,8,1671,1109,24.49,43.15,4.21,359,139,53,0,0,228
370,Sean M Ervine,36,94,2,14,1672,816,25.85,40.22,5.68,578,827,419,729,544,231
371,John A R Blain,40,138,0,6,1250,517,14.95,32.41,5.3,29,25,109,96,282,151
372,Dominic G Cork,47,9,0,1,1851,271,10,43.22,4.63,32,1129,189,248,712,150
373,Adam F Milne,26,28,0,4,1917,165,16.8,43.93,5.27,168,339,308,439,294,217
374,Vernon D Philander,33,26,0,0,1002,213,12.58,31.2,4.63,0,0,0,131,190,173
375,Cameron E Cuffy,49,93,0,1,2204,125,4.43,52.51,4,90,837,470,21,605,115
376,Russel P Arnold,45,122,28,21,2137,5443,35.27,53.93,4.84,123,619,547,4187,23,298
377,Paul Robert Stirling,28,28,17,76,2061,3870,35.41,58,4.78,17,1267,715,3231,82,319
378,Nathan M Coulter-Nile,31,41,0,2,1350,184,13.45,29.6,5.36,350,1701,173,153,254,183
379,Mark A Wood,29,68,0,,0,0,9,49.68,5.66,366,29,839,15,121,171
380,Salim Jaffer,56,75,0,0,1806,73,18,47.5,4.36,202,72,367,311,308,138
381,Amir Hamza,27,48,0,1,1346,94,3.29,38.8,3.93,226,1297,303,161,263,69
382,Hamilton Masakadza,35,93,34,85,1852,7618,28.16,46.82,5.33,178,349,429,5287,373,327
383,Ravinda S Bopara,33,75,14,34,1939,3462,30.63,47.69,4.91,747,810,473,2533,417,268
384,Grant D Elliott,39,144,11,28,1162,2416,34.07,31.85,5.43,123,1198,152,1882,80,279
385,Maurice O Odumbe,49,38,11,13,2306,2014,26.09,57.36,4.85,31,337,191,1279,147,217
386,Gulbadin Naib,27,105,5,23,1711,1128,23.03,39.95,5.16,526,1512,246,864,260,203
387,William K McCallan,43,88,1,2,2098,419,20.06,46.26,4.02,152,1286,343,390,476,204
388,Sulieman J Benn,37,15,0,3,2295,240,7.91,61.21,4.81,137,1505,427,262,286,145
389,Timothy Brian Alexander May,57,147,0,0,2724,52,9.75,64.21,4.25,254,364,295,174,297,145
390,Pedro T Collins,42,28,0,0,1590,50,4.29,40.44,4.61,298,917,397,2,357,123
391,Winston W Davis,60,141,0,0,1910,53,14,49.31,4.06,40,1018,327,209,203,138
392,Akram Raza,54,149,0,2,2714,310,17.55,68.45,3.72,8,115,395,329,297,143
393,Devendra Bishoo,33,58,0,1,2312,248,10,53.21,4.95,175,1628,286,5,282,126
394,Mervyn Gregory Hughes,57,21,0,4,1353,134,11.11,43.13,4.08,131,270,156,232,140,165
395,Ranganath Vinay Kumar,35,25,0,2,1453,146,9.56,37.79,5.95,215,2005,131,93,76,137
396,Nadeem Ahmed,31,112,0,0,1583,151,5.58,34.92,4.21,507,451,132,466,159,105
397,Inderbir S Sodhi,26,66,0,4,1509,84,6.2,39.79,5.54,132,1682,548,189,228,145
398,Anthony J Ireland,34,17,0,0,1149,0,3.75,34.89,5.05,251,542,245,81,208,75
399,Aththachchi Nuwan Pradeep Roshan Fernando,32,145,0,1,1692,0,5.4,40.95,6.13,1020,951,462,182,365,95
400,Travis J Friend,38,103,3,6,1974,0,16.12,52.16,5.53,245,1596,28,807,655,177
401,Murali Kartik,42,138,0,1,1986,0,14,51.54,5.07,26,638,489,262,129,157
402,Mark R Gillespie,39,142,0,1,1521,118,15.5,41.11,5.4,527,928,105,47,100,187
403,Edward E Hemmings,70,8,0,0,1354,61,5,47.35,4.43,727,428,676,18,135,101
404,Michael G Bevan,48,37,46,21,1974,9320,53.58,54.61,5.05,407,840,519,6635,9,410
405,Suresh Kumar Raina,32,140,36,120,2255,6005,35.31,59.06,5.11,644,688,527,5392,134,370
406,Graham A Gooch,65,156,23,15,2024,6934,36.98,57.39,4.4,221,446,394,4262,89,304
407,John M Davison,48,19,5,20,1479,767,26.63,39.86,4.46,153,61,28,588,295,268
408,Hewa Kaluhalamullage Suraj Randiv Kaluhalamulla,34,89,1,1,1465,382,17.5,39.92,5.07,84,315,180,153,93,173
409,Eldine A E Baptiste,58,71,0,0,2331,241,15.33,61.5,4.09,187,1772,243,339,75,170
410,Simon B Doull,49,40,0,5,1748,188,12.29,48.47,5.02,276,2523,194,13,314,193
411,Khurram Chohan,39,138,0,4,1221,285,13.75,32.94,5.21,250,724,177,31,309,146
412,C Malinga Bandara,39,76,0,4,1502,224,12.31,40.83,5.03,197,215,341,189,42,153
413,Anthony I C Dodemaide,55,78,0,0,942,159,13.78,36.86,3.4,55,216,252,230,61,185
414,Iain Wardlaw,33,63,0,0,1052,40,3.5,30.78,5.61,840,925,263,30,81,107
415,Kane S Williamson,28,83,37,45,1304,6723,45.91,41.06,5.43,55,250,519,5464,34,396
416,C Justice Chibhabha,32,23,16,14,1895,3784,23.65,47.63,5.82,109,1247,293,2425,242,218
417,Collins O Obuya,37,96,11,30,2126,2981,25.55,51.94,5.4,65,1465,416,1956,251,217
418,Neil C Johnson,49,88,11,12,1641,2389,36.5,42.94,4.87,474,2692,132,1593,16,257
419,Naeem Islam,32,75,5,13,1684,1473,27.08,49.8,4.84,184,515,507,966,97,197
420,Christopher Henry Morris,31,91,1,12,1364,404,19.7,43.2,5.62,34,226,454,440,124,216
421,Andrew Robert McBrine,25,133,1,5,1470,315,20.08,47.46,0,0,0,0,0,404,183
422,Brad A Williams,44,19,0,0,1222,46,13.5,34.37,4.06,467,655,142,271,193,146
423,Michael Hendrick,70,33,0,0,1067,22,1.2,35.66,3.27,324,769,182,30,253,74
424,Tahir Naqqash,59,13,1,3,1612,242,15,46.94,4.66,234,766,268,60,46,187
425,John A Rennie,48,1,0,0,1690,340,12.2,55.15,4.8,258,905,534,27,156,121
426,Ramesh R Powar,40,21,1,2,1610,260,11.64,45.18,4.65,94,32,187,275,27,136
427,Ottis D Gibson,49,93,1,3,654,138,14.1,21.74,5.04,754,532,55,49,69,221
428,Lakshmipathy Balaji,37,57,0,3,1477,152,12,42.56,5.57,30,153,260,106,6,166
429,Russell D M Leverock,47,42,0,0,1794,381,11.2,49.53,4.02,578,66,390,130,120,96
430,Vinothen Bede John,58,116,0,0,2304,152,9.33,67.97,4.3,131,445,392,146,250,122
431,Kyle J Abbott,31,53,0,0,1137,126,8.44,38.32,4.84,556,546,136,82,295,130
432,Tino L Best,37,51,0,0,1181,125,9.5,38.24,5.34,5,823,91,67,34,131
433,Peter K D Chase,25,51,0,1,1256,56,3.5,36.41,6.57,203,254,203,217,139,115
434,Yusuf K Pathan,36,136,3,43,1618,713,27,45.15,5.5,235,501,49,742,233,272
435,John G Bracewell,60,104,0,3,2327,717,16.52,74.15,4.62,44,783,416,646,114,154
436,Umar Bhatti,35,95,0,6,1223,512,17.18,49.39,4.23,717,472,294,539,358,181
437,Eric O Simons,56,51,0,3,1435,295,15.5,36.73,4.01,28,505,250,395,113,176
438,Kenneth C G Benjamin,51,21,0,0,1262,80,10.83,39.97,4.2,498,1055,311,97,18,166
439,Sikander Bakht,61,105,0,0,1108,97,7.75,38.7,4.04,301,728,113,337,183,83
440,Shabbir Ahmed,42,21,0,0,1536,29,1.67,49.76,4.36,35,683,63,54,113,69
441,Justin M Kemp,41,50,10,60,1101,1819,31.5,40.72,4.67,777,838,125,1570,530,258
442,Rizwan Cheema,40,143,6,35,1530,685,24.65,41.56,4.94,419,320,329,778,822,265
443,Adam J Hollioake,47,59,3,4,1195,807,25.25,37.75,5.06,294,661,262,365,91,200
444,Seekkuge Prasanna,33,88,2,26,1707,445,12.38,60.78,5.45,832,527,338,576,21,184
445,Dandeniyage S De Silva,76,97,0,0,1897,687,19.53,64.88,4.5,214,437,599,485,228,138
446,Edgar Schiferli,42,80,0,5,1623,218,10.06,40.44,4.67,330,483,214,127,463,156
447,Kariyawasam Tirana Gamage Dhammika Prasad,35,34,0,3,1336,146,21.5,31.72,5.77,24,2211,257,86,69,206
448,Gary B Troup,66,29,0,2,1143,140,25.25,36.88,4.02,658,392,100,99,155,197
449,Brian V Vitori,29,39,0,7,1121,90,7.82,37.28,5.78,564,1635,540,108,133,178
450,Adam C Dale,50,142,0,0,1323,136,19.5,49.88,3.68,832,945,130,151,173,156
451,Sangarange D Anurasiri,53,124,0,0,2047,143,10.33,65.63,4.18,234,118,319,14,567,88
452,Derek L Underwood,73,134,0,0,1437,133,5.89,39.94,3.45,630,488,456,182,308,94
453,Piyush Pramod Chawla,30,105,0,0,1437,58,5.43,41,5.11,4,1276,562,91,185,122
454,Matthew J Hoggard,42,121,0,0,1375,30,4.25,40.81,5.29,65,972,111,60,153,108
455,Richard D Berrington,31,134,11,27,1017,2231,27.07,40.71,5.31,462,259,378,1834,178,225
456,Carlos Ricardo Brathwaite,30,107,1,15,1431,452,14.41,47.74,5.48,170,413,497,488,31,182
457,Kaushal S Lokuarachchi,36,22,1,5,1003,262,14,32.61,4.3,159,1236,93,377,22,177
458,Arshad Ayub,60,137,0,0,1645,162,11.6,57.06,4.12,146,71,466,301,160,144
459,Mohit Mahipal Sharma,30,106,0,0,928,66,7.75,36.16,5.46,442,934,111,174,9,104
460,Michael J Mason,44,99,0,0,1450,45,8,38.03,5.21,550,1020,54,55,263,115
461,Jade W Dernbach,32,141,0,0,1179,39,2.71,39.81,6.36,319,433,223,128,277,88
462,Graeme A Hick,52,78,27,41,1304,5191,37.34,41.2,4.98,281,1397,334,3884,226,312
463,Douglas A Marillier,40,114,3,7,1380,956,18.16,52.47,4.71,47,463,593,846,288,169
464,Imad Wasim,30,63,4,11,1338,562,43.85,50.9,4.52,167,233,28,637,278,280
465,Abdur Rehman,39,55,0,1,1708,263,8.35,54.13,0,519,803,89,208,482,106
466,Sajid I Mahmood,37,136,0,1,1241,101,7.73,39.9,5.86,614,620,290,82,30,158
467,Richard K Illingworth,55,70,0,0,1755,120,11.33,50.03,4.23,139,1241,299,309,56,120
468,Imran Haider,29,34,0,0,683,100,11,27.6,5.12,266,247,322,134,64,110
469,Colin E H Croft,65,55,0,0,1088,38,9,35.67,3.48,385,136,134,27,207,113
470,Martin D Crowe,3,37,34,29,1440,6477,38.56,44.69,4.42,312,729,215,4781,196,334
471,Manzoor Elahi,55,79,1,17,1523,827,22.45,60.1,4.34,237,561,314,656,7,207
472,Timotheus B M de Leede,51,18,2,5,1038,628,16.67,39.28,5.26,293,1838,51,741,246,154
473,Craig M Wright,44,31,0,4,1226,351,16,29.69,4.62,46,198,178,141,295,167
474,Franklyn A Rose,47,63,0,6,1293,265,0,0,0,0,0,0,163,320,167
475,Hasibul Hussain,41,135,0,5,1433,247,8.6,47.41,5.83,251,977,36,342,254,137
476,Ryan J Sidebottom,41,62,0,0,1616,194,13.3,44.03,4.88,609,1324,159,442,116,148
477,Rajesh K Chauhan,52,37,0,4,1803,171,10.15,56.34,4.47,214,78,343,44,449,145
478,Ehsan Khan,34,102,0,0,791,226,11.11,27.83,4.42,473,1247,179,64,514,111
479,Brian A Murphy,42,71,0,0,1200,130,8,49.03,4.77,29,1260,253,129,255,107
480,Paul R Adams,42,104,0,0,1008,124,16.5,38.24,4.41,285,798,26,104,235,131
481,Benjamin William Hilfenhaus,35,53,0,0,1295,69,9.67,41.93,5.3,274,798,29,68,544,98
482,Wavell W Hinds,42,141,14,50,987,4393,28.51,33.75,5.31,228,970,148,2568,26,252
483,Rohan Mustafa,30,57,1,15,931,896,23.78,45.11,4.69,576,662,421,745,92,189
484,Balapuwaduge Manukulasuriya Amith Jeevan Mendis,36,69,1,11,1264,710,20.13,47.75,5.09,155,118,175,792,410,190
485,Ian G Butler,37,36,0,2,1375,154,10.5,39.61,5.62,5,926,135,118,165,116
486,Steven P D Smith,29,66,19,31,1090,3973,41.84,38.74,5.34,729,1586,177,3489,303,331
487,Aasif Y Karim,55,135,1,4,1510,375,12.67,58.07,4.26,281,222,780,167,187,131
488,Aftab Alam,26,70,0,3,840,84,15.25,34.78,4.93,353,1186,350,19,21,161
489,Ratnayake A P Nissanka,38,43,0,1,1049,140,6.63,36.93,5.16,653,112,194,43,196,80
490,Kane W Richardson,28,63,0,3,1051,53,9,34.63,5.48,365,3,397,34,199,164
491,Peter J Martin,50,78,0,0,1339,53,6.33,38.81,4.61,109,318,161,4,218,133
492,Pulasthi W Gunaratne,45,138,0,0,959,63,7.2,35.52,5.68,151,907,348,99,8,112
493,Ata-Ur-Rehman,43,130,0,0,1489,76,4.86,55.26,4.77,320,559,275,100,0,75
494,Craig Alexander Young,28,132,0,1,705,32,5,24.33,5.14,457,689,143,6,191,122
495,Andrew J McKay,38,58,0,0,1140,47,4,34.3,5.18,74,302,124,264,199,55
496,Hamish K Bennett,32,127,0,0,0,35,5,26.59,5.19,452,1725,3,46,269,66
497,Asanka Pradeep Gurusinha,52,59,22,42,1585,6409,28.28,60.96,5.13,194,578,174,3955,122,241
498,Kedar M Jadhav,33,47,5,19,976,1025,47.09,38.27,4.94,413,1988,48,1039,59,312
499,Mehidy Hasan Miraz,21,7,1,3,1231,405,20.79,47.81,4.4,255,268,328,236,185,168
500,Lamech N Onyango,45,58,0,4,1053,188,13.09,38.27,5.92,376,347,76,142,160,160
501,Phillippe H Edmonds,67,106,0,0,1411,232,10.55,59,3.77,320,386,47,411,115,103
502,Lungisani Ngidi,22,71,0,1,652,44,34,24.85,5.56,506,38,318,142,350,221
503,Krishnamachari Srikkanth,59,88,27,41,560,5702,29.01,28.48,5.4,19,1185,383,4256,4,291
504,Andrew R White,38,63,1,1,865,1235,18.05,34.76,4.75,188,810,228,898,256,159
505,Derek N Crookes,49,27,1,5,1316,412,14.8,48.84,4.97,228,201,242,439,157,150
506,Gordon D Drummond,38,141,0,4,1375,262,18.46,50.52,4.43,964,1285,189,266,113,197
507,Ahmed Raza,30,16,1,2,1336,418,12.89,53,4.14,84,2330,0,265,164,118
508,Luke M Jongwe,24,101,0,4,839,298,15.47,34.52,5.28,592,62,309,316,53,172
509,Shingirai W Masakadza,32,81,0,8,732,177,21.25,31.64,6.76,36,1899,291,249,215,212
510,Dave Langford-Smith,42,58,0,7,1035,133,15.78,37.68,5.08,179,532,252,388,114,216
511,Geoffrey Miller,66,36,0,0,1217,265,8.5,50.72,3.85,334,401,120,25,53,104
512,Aaron M Phangiso,35,26,0,0,1115,162,7.36,43.4,4.58,96,1809,53,265,158,96
513,Mark B S Jonkman,32,116,0,0,348,63,10.75,27.32,4.79,22,712,60,75,23,147
514,Zahoor Khan,29,130,0,2,538,54,6.6,21.4,0,206,316,252,82,200,124
515,Abey Kuruvilla,50,38,0,1,1072,43,3.71,45.24,4.72,222,2343,16,138,61,108
516,Kapila I W Wijegunawardene,54,140,0,0,1223,56,2.86,47.44,4.99,120,775,147,135,205,59
517,Nasir Hossain,27,46,6,15,1203,1605,29.11,52.33,4.72,742,951,268,1523,333,217
518,Alok Kapali,34,125,5,10,1365,1816,19.6,60.5,5.19,0,1557,83,1104,430,170
519,Samit R Patel,34,43,1,12,1246,517,32.13,49.46,5.51,242,120,46,657,21,229
520,Ian D Blackwell,40,110,1,9,1288,465,14.93,51.25,4.28,645,1373,276,388,79,175
521,Ronald C Irani,47,3,1,2,1016,549,14.4,53.46,4.63,267,23,405,265,249,136
522,Norman Vanua,25,61,0,8,294,161,16.67,28.42,4.9,682,1513,243,235,317,197
523,Alzarri S Joseph,22,52,0,4,617,117,33.67,31.54,6.48,356,584,45,153,14,226
524,Dwaine Pretorius,29,102,1,3,798,113,16.83,33.58,4.78,44,858,81,140,61,189
525,John K Lever,70,130,0,0,1167,152,8,48,3.71,645,70,21,163,99,80
526,Manjural Islam,39,132,0,0,1623,134,5.89,66.29,4.84,229,579,269,0,113,70
527,Arafat Sunny,32,19,0,0,1126,92,12,34.58,4.34,174,656,180,26,373,117
528,Karuppiahyage Ravindra Pushpakumara,43,4,0,0,1607,52,9,59.58,4.96,433,1838,235,116,405,120
529,Paul W Jarvis,53,139,0,1,987,39,5.17,36.63,4.59,143,2154,282,173,119,141
530,Mudhsuden S Panesar,36,92,0,0,1288,91,5.2,54.5,4.5,297,1839,25,99,81,49
531,Harvinder Singh,41,81,0,0,1124,19,1.5,28.58,5.33,36,293,102,209,101,59
532,Keith M Dabengwa,38,96,0,8,1155,0,0,48.22,5.06,184,129,170,311,153,53
533,Manjural Islam Rana,16,4,1,1,0,668,20.69,43.3,4.15,128,1996,259,0,386,134
534,Saleem Mukuddem,47,68,1,1,808,650,23.64,41.74,4.7,118,737,273,355,215,149
535,Douglas A J Bracewell,28,123,1,3,962,214,15.8,40.52,5.14,271,1278,418,45,54,163
536,Kevin A D Hurdle,42,91,0,7,893,101,10.63,39.35,5.52,180,1951,340,57,334,160
537,Gordon Goudie,31,69,0,5,623,99,10,31.7,5.13,698,1265,344,106,162,159
538,Thomas G Hogan,62,37,0,2,965,95,9,39.87,3.76,528,1706,283,64,123,145
539,Stuart R Gillespie,62,24,0,1,1095,106,11.67,41.87,4.59,735,2096,273,113,28,135
540,Wayne W Daniel,63,132,0,0,1037,56,49,39.65,3.91,458,203,349,145,324,269
541,Aizaz Cheema,39,28,0,0,731,45,8.67,28.61,5.41,283,1660,368,9,414,117
542,Shannon Terry Gabriel,30,56,0,0,0,53,3.5,36.48,5.59,0,39,215,136,20,71
543,Norman G Cowans,57,20,0,0,1038,29,2.6,55.74,4.27,321,66,255,99,52,71
544,Narendra D Hirwani,50,20,0,0,1147,29,2,41.74,4.49,140,2427,39,122,224,45
545,Usman Khan Shinwari,25,5,0,0,419,1,0,21.13,4.96,116,1759,82,209,382,15
546,Marcus Peter Stoinis,29,74,5,34,1200,886,42.2,45.45,6.03,314,1142,124,825,147,270
547,Downdegedara Asela Sampath Gunaratne,33,149,1,6,872,724,27.38,37.91,5.2,776,1078,383,0,40,204
548,Farhad Reza,32,134,1,8,1249,636,16.48,51.77,5.36,170,699,404,493,40,144
549,Mluleki L Nkala,37,42,0,4,1558,526,10.8,71.91,5.95,344,1516,138,297,280,107
550,Douglas R Brown,49,8,1,2,1182,481,17.72,43.32,5.79,356,802,365,247,390,150
